name
BTC-USD
ETH-USD
USDT-USD
USDC-USD
BNB-USD
XRP-USD
BUSD-USD
DOGE-USD
ADA-USD
MATIC-USD
DOT-USD
DAI-USD
LTC-USD
SOL-USD
TRX-USD
SHIB-USD
UNI-USD
AVAX-USD
LEO-USD
LINK-USD
WBTC-USD
TON-USD
ATOM-USD
XMR-USD
ETC-USD
XLM-USD
BCH-USD
CRO-USD
ALGO-USD
QNT-USD
APE-USD
FIL-USD
OKB-USD
NEAR-USD
VET-USD
HBAR-USD
ICP-USD
EOS-USD
EGLD-USD
LUNC-USD
USDP-USD
HT-USD
FLOW-USD
BSV-USD
TWT-USD
XTZ-USD
CHZ-USD
AAVE-USD
THETA-USD
SAND-USD
TUSD-USD
AXS-USD
ZEC-USD
USDD-USD
MANA-USD
XCN-USD
KCS-USD
BIT-USD
BTT-USD
FTM-USD
GUSD-USD
APT-USD
MKR-USD
CAKE-USD
GRT-USD
XEC-USD
MIOTA-USD
KLAY-USD
DASH-USD
NEO-USD
PAXG-USD
RUNE-USD
SNX-USD
OSMO-USD
FEI-USD
GMX-USD
MINA-USD
USDN-USD
GT-USD
ETHW-USD
NEXO-USD
STX-USD
LDO-USD
ZIL-USD
IMX-USD
CRV-USD
1INCH-USD
BAT-USD
LRC-USD
DCR-USD
CSPR-USD
XDC-USD
XEM-USD
KAVA-USD
HOT-USD
ENJ-USD
COMP-USD
AR-USD
CELO-USD
BAL-USD
CVX-USD
HNT-USD
ENS-USD
BTG-USD
RVN-USD
OP-USD
SUSHI-USD
QTUM-USD
TFUEL-USD
USTC-USD
ROSE-USD
GNO-USD
KSM-USD
YFI-USD
CHSB-USD
GMT-USD
GLM-USD
IOTX-USD
KDA-USD
LUNA-USD
ANKR-USD
MASK-USD
JST-USD
WAVES-USD
XCH-USD
XYM-USD
POLY-USD
ELON-USD
GLMR-USD
ONE-USD
JASMY-USD
BNX-USD
GALA-USD
WOO-USD
LPT-USD
SFP-USD
ONT-USD
HIVE-USD
RSR-USD
ZRX-USD
OMG-USD
ICX-USD
ASTR-USD
IOST-USD
T-USD
SC-USD
AMP-USD
CEL-USD
DGB-USD
NFT-USD
FLUX-USD
AUDIO-USD
ZEN-USD
RBN-USD
BORA-USD
STORJ-USD
BONE-USD
ABBC-USD
WAXP-USD
MAGIC-USD
RNDR-USD
BTRST-USD
SXP-USD
INJ-USD
UMA-USD
SCRT-USD
PEOPLE-USD
EWT-USD
SSV-USD
PLA-USD
DYDX-USD
OCEAN-USD
SLP-USD
LSK-USD
XNO-USD
PUNDIX-USD
KNC-USD
MXC-USD
CVC-USD
SKL-USD
RLC-USD
TRIBE-USD
VGX-USD
MED-USD
ANT-USD
FXS-USD
REQ-USD
SNT-USD
PYR-USD
REN-USD
CHR-USD
WIN-USD
CELR-USD
ILV-USD
ONG-USD
CKB-USD
NMR-USD
MX-USD
TRAC-USD
SYN-USD
WTRX-USD
HEX-USD
stETH-USD
FRAX-USD
WBNB-USD
BTCB-USD
HBTC-USD
BTTOLD-USD
FTT-USD
XAUT-USD
XRD-USD
MV-USD
USDJ-USD
NXM-USD
BGB-USD
TMG-USD
DFI-USD
RPL-USD
LUSD-USD
BRISE-USD
TEL-USD
SAFE-USD
LN-USD
KRD-USD
EURS-USD
BabyDoge-USD
MC-USD
ZEON-USD
WEMIX-USD
vUSDC-USD
CTC-USD
VERI-USD
VVS-USD
USDX-USD
HOOK-USD
KAS-USD
DEXE-USD
LYXe-USD
ERG-USD
DESO-USD
DAO-USD
METIS-USD
LOOKS-USD
AVINOC-USD
MOB-USD
API3-USD
XPRT-USD
MVL-USD
FET-USD
CTSI-USD
MDX-USD
CEEK-USD
COTI-USD
SYS-USD
PROM-USD
ANY-USD
DKA-USD
BICO-USD
ARRR-USD
CFG-USD
FX-USD
KEEP-USD
STEEM-USD
ELF-USD
